team,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,receiving_fumbles,receiving_fumbles_lost,special_teams_tds,is_home,opponent
DET,279.54544,1.6363636363636365,0.72727275,1.9090909,11.0,0.36363636363636365,0.18181818181818182,248.09091,128.27272,13.727273,29.818181818181817,136.90909,1.5454545454545454,0.36363637,0.27272728,7.2727275,0.27272728,0.27272728,0.0,False,NO
GB,237.54546,1.7272727272727273,0.90909094,2.0,15.454545,0.36363636363636365,0.0,302.36365,106.90909,11.636364,24.90909090909091,102.72727,0.5454545454545454,0.36363637,0.09090909,4.818182,0.27272728,0.09090909,0.0,True,KC
HOU,297.63635,1.8181818181818181,0.45454547,2.4545455,21.454546,0.36363636363636365,0.2727272727272727,323.45456,122.09091,14.181818,26.454545454545453,97.818184,0.6363636363636364,0.27272728,0.09090909,4.909091,0.18181819,0.18181819,0.09090909,True,DEN
IND,231.72728,1.0,0.72727275,2.1818182,11.727273,0.6363636363636364,0.36363636363636365,248.18182,114.0,10.818182,28.454545454545453,121.36364,1.4545454545454546,0.27272728,0.18181819,6.5454545,0.18181819,0.09090909,0.0,False,TEN
JAX,252.0,1.0909090909090908,0.6363636,2.2727273,14.0,0.45454545454545453,0.2727272727272727,249.0,119.36364,11.181818,29.09090909090909,106.181816,1.0909090909090908,0.18181819,0.18181819,6.0,0.54545456,0.36363637,0.0,True,CIN
KC,268.0,1.9090909090909092,1.0,1.2727273,9.545455,0.18181818181818182,0.18181818181818182,257.18182,154.27272,13.363636,25.363636363636363,106.454544,0.5454545454545454,0.18181819,0.0,6.6363635,0.45454547,0.36363637,0.0,False,GB
LA,241.90909,1.1818181818181819,0.90909094,2.0,15.272727,0.09090909090909091,0.0,274.81818,107.181816,11.727273,26.727272727272727,114.0,1.0,0.09090909,0.0,6.2727275,0.09090909,0.0,0.0,True,CLE
LAC,261.36365,1.9090909090909092,0.54545456,2.2727273,17.818182,0.2727272727272727,0.09090909090909091,285.0909,129.81818,12.545455,25.363636363636363,103.90909,0.8181818181818182,0.18181819,0.09090909,5.181818,0.6363636,0.36363637,0.09090909,False,NE
LV,219.16667,0.9166666666666666,1.4166666,2.3333333,17.833334,0.25,0.16666666666666666,250.91667,97.0,10.833333,23.75,82.666664,0.6666666666666666,0.41666666,0.16666667,4.3333335,0.083333336,0.0,0.0,BYE,BYE
MIA,294.9091,2.090909090909091,1.0,1.6363636,9.636364,0.09090909090909091,0.0,256.45456,140.27272,14.272727,26.545454545454547,145.18182,1.7272727272727273,1.0909091,0.54545456,6.7272725,0.36363637,0.18181819,0.0,False,WAS
MIN,272.0,1.9166666666666667,0.8333333,2.25,13.416667,0.5833333333333334,0.5,271.25,116.166664,12.916667,23.666666666666668,92.083336,0.4166666666666667,0.5833333,0.33333334,4.75,0.33333334,0.16666667,0.0,BYE,BYE
NE,207.09091,0.9090909090909091,1.2727273,2.2727273,13.272727,0.18181818181818182,0.09090909090909091,248.27272,118.72727,9.636364,25.09090909090909,99.63636,0.5454545454545454,0.09090909,0.09090909,6.4545455,0.36363637,0.27272728,0.0,True,LAC
NO,257.27274,1.1818181818181819,0.72727275,2.2727273,14.545455,0.36363636363636365,0.18181818181818182,335.72726,113.818184,11.454545,27.727272727272727,104.36364,0.6363636363636364,0.36363637,0.18181819,6.3636365,0.0,0.0,0.09090909,True,DET
NYG,182.08333,0.9166666666666666,0.75,5.75,30.5,0.4166666666666667,0.08333333333333333,210.33333,85.0,8.166667,27.333333333333332,107.083336,0.3333333333333333,0.41666666,0.16666667,5.25,0.25,0.083333336,0.0,BYE,BYE
NYJ,197.63637,0.6363636363636364,0.90909094,4.2727275,30.818182,0.6363636363636364,0.2727272727272727,245.54546,100.0,8.909091,20.545454545454547,93.36364,0.2727272727272727,0.72727275,0.27272728,4.0,0.18181819,0.18181819,0.09090909,True,ATL
PHI,245.18182,1.6363636363636365,0.90909094,2.6363637,14.181818,0.2727272727272727,0.09090909090909091,279.0909,104.72727,11.181818,31.727272727272727,133.27272,1.5454545454545454,0.6363636,0.36363637,9.272727,0.09090909,0.09090909,0.0,True,SF
PIT,196.0,0.6363636363636364,0.54545456,2.2727273,17.09091,0.0,0.0,229.09091,101.72727,8.636364,26.272727272727273,114.0,0.7272727272727273,0.36363637,0.09090909,6.5454545,0.18181819,0.09090909,0.0,True,ARI
SEA,240.90909,1.0909090909090908,0.8181818,2.4545455,19.09091,0.18181818181818182,0.09090909090909091,252.72728,115.27273,10.909091,23.272727272727273,95.818184,0.6363636363636364,0.09090909,0.09090909,5.6363635,0.0,0.0,0.0,False,DAL
SF,261.63635,1.7272727272727273,0.54545456,1.9090909,11.545455,0.36363636363636365,0.18181818181818182,224.18182,122.36364,12.090909,30.545454545454547,136.0,1.6363636363636365,0.36363637,0.18181819,8.454545,0.18181819,0.0,0.0,False,PHI
TB,235.27272,1.5454545454545454,0.6363636,2.3636363,12.454545,0.45454545454545453,0.18181818181818182,295.45456,110.09091,11.090909,24.272727272727273,81.27273,0.36363636363636365,0.18181819,0.0,4.5454545,0.45454547,0.27272728,0.0,True,CAR
TEN,204.18182,0.8181818181818182,0.72727275,3.2727273,22.90909,0.09090909090909091,0.0,277.63635,89.63636,8.636364,24.09090909090909,102.72727,0.7272727272727273,0.27272728,0.18181819,5.3636365,0.09090909,0.0,0.0,False,IND
WAS,278.25,1.5,1.0833334,4.5833335,31.25,0.25,0.08333333333333333,306.83334,137.08333,12.833333,21.416666666666668,96.75,0.75,0.41666666,0.33333334,6.25,0.33333334,0.25,0.0,True,MIA
